what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815515391
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815517704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815618922
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815622954
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815634681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815634741
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815634801
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815640353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815672314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815672394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815675716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815676208
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1372815686496
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.6,"org.tigris.subversion.clientadapter.javahl",1372815687027
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.7.5.1,"org.tigris.subversion.clientadapter.svnkit",1372815687037
started,bundle,org.eclipse.wb.core.lib,1.5.0.r37x201206111201,"org.eclipse.wb.core.lib",1372815690241
started,bundle,org.eclipse.wb.core,1.5.0.r37x201206111201,"org.eclipse.wb.core",1372815690383
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372815690723
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1372815695168
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1372815695860
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1372815696130
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815696962
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815705354
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1372815705746
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1372815707699
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372815714202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815721873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815753398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815756400
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815761793
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815783154
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815788317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815817809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815817959
